Operator,Recipe Name,Product,Process,Layer,Side,Lot,MeasTime,Obj,Unit,Meas Type,X Pos,Y Pos,Z Pos,Status,T1_Thk(um),T2_Thk(um),T3_Thk(um),T4_Thk(um),T5_Thk(um),T1_TW(um),T2_TW(um),T3_TW(um),T4_TW(um),T5_TW(um),T1_MW(um),T2_MW(um),T3_MW(um),T4_MW(um),T5_MW(um),T1_BW(um),T2_BW(um),T3_BW(um),T4_BW(um),T5_BW(um),S1_TW(um),S2_TW(um),S3_TW(um),S4_TW(um),S5_TW(um),S1_MW(um),S2_MW(um),S3_MW(um),S4_MW(um),S5_MW(um),S1_BW(um),S2_BW(um),S3_BW(um),S4_BW(um),S5_BW(um),T1_Ra(um),T2_Ra(um),T3_Ra(um),T4_Ra(um),T5_Ra(um),T1_Rq(um),T2_Rq(um),T3_Rq(um),T4_Rq(um),T5_Rq(um),T1_Rt(um),T2_Rt(um),T3_Rt(um),T4_Rt(um),T5_Rt(um),T1_Rp(um),T2_Rp(um),T3_Rp(um),T4_Rp(um),T5_Rp(um),T1_Rv(um),T2_Rv(um),T3_Rv(um),T4_Rv(um),T5_Rv(um),T1_Rz(um),T2_Rz(um),T3_Rz(um),T4_Rz(um),T5_Rz(um),S1_Ra(um),S2_Ra(um),S3_Ra(um),S4_Ra(um),S5_Ra(um),S1_Rq(um),S2_Rq(um),S3_Rq(um),S4_Rq(um),S5_Rq(um),S1_Rt(um),S2_Rt(um),S3_Rt(um),S4_Rt(um),S5_Rt(um),S1_Rp(um),S2_Rp(um),S3_Rp(um),S4_Rp(um),S5_Rp(um),S1_Rv(um),S2_Rv(um),S3_Rv(um),S4_Rv(um),S5_Rv(um),S1_Rz(um),S2_Rz(um),S3_Rz(um),S4_Rz(um),S5_Rz(um),T1_MW_Core(um),T2_MW_Core(um),T3_MW_Core(um),T4_MW_Core(um),T5_MW_Core(um),
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_6_BA,2016-05-25 07:10:45,1,1,TRACE1,453.621,272.137,-22.234,-,16.5315,16.7761,16.8417,16.6243,,45.0243,45.3529,47.1309,46.2574,,47.3323,47.8373,49.3725,48.6356,,49.4289,50.0862,51.4740,50.8078,,,54.7505,52.6888,53.9902,,,52.3641,50.3392,51.7170,,,50.1653,48.2141,49.5256,,0.4019,0.4079,0.4021,0.3953,,0.4968,0.5020,0.4958,0.4903,,3.2407,3.1221,2.9263,2.9949,,1.6006,1.5281,1.3880,1.4696,,1.6401,1.5941,1.5383,1.5254,,3.0036,2.9720,2.8123,2.8781,,0.7468,0.7249,0.7045,0.6860,0.8013,0.9530,0.9111,0.8973,0.8547,1.0271,6.5360,5.9011,5.9554,5.5332,7.3295,3.2215,2.8754,2.8309,2.6964,3.6010,3.3144,3.0258,3.1245,2.8367,3.7285,5.9918,5.6698,5.5698,5.2074,6.7009,47.2266,47.7195,49.3024,48.5326,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_6_BA,2016-05-25 07:11:06,1,1,TRACE2,453.451,268.574,-22.237,-,16.8253,16.4251,16.5721,17.1766,,48.0950,46.8087,47.8919,49.3525,,50.2667,49.1207,50.1804,51.4134,,52.2055,51.2274,52.2169,53.5291,,,53.3471,52.9549,51.4498,,,51.0643,50.5997,49.2885,,,49.0092,48.5638,47.1581,,0.3705,0.3909,0.3605,0.4204,,0.4601,0.4844,0.4507,0.5171,,3.1965,3.0741,3.4952,3.5203,,1.4575,1.4888,1.5964,1.6753,,1.7391,1.5853,1.8988,1.8450,,2.9028,2.8979,2.9938,3.0991,,0.7036,0.6332,0.6686,0.7213,0.7762,0.8968,0.7995,0.8456,0.9048,0.9969,6.2445,5.2956,5.3958,6.2545,6.7816,3.0742,2.6064,2.7016,3.1261,3.3882,3.1703,2.6893,2.6942,3.1284,3.3934,5.8025,5.1155,5.2085,5.6673,6.6117,50.1503,49.0180,50.0544,51.4408,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_6_BA,2016-05-25 07:11:28,1,1,TRACE3,448.024,272.164,-22.232,-,16.9296,16.6283,16.4836,16.7862,,45.7135,47.1934,45.1711,45.2852,,47.6707,49.1930,47.3881,47.4138,,49.5491,51.0310,49.2650,49.3433,,,53.7852,53.7433,55.0132,,,51.9250,51.6539,52.7949,,,50.0911,49.9533,50.7708,,0.4281,0.3974,0.3898,0.4029,,0.5223,0.4925,0.4819,0.5002,,3.6105,3.2483,3.1984,3.4897,,1.6914,1.5958,1.5349,1.6612,,1.9190,1.6525,1.6635,1.8285,,3.1110,2.9735,2.8762,3.1411,,0.8682,0.6241,0.6954,0.7304,0.7641,1.1082,0.7892,0.8721,0.9060,0.9442,7.8367,5.6015,6.0399,6.0680,6.5583,3.9779,2.7845,2.9198,2.8913,3.2281,3.8588,2.8170,3.1202,3.1767,3.3301,7.5159,5.2619,5.5794,5.7667,5.8739,47.6313,49.1122,47.2181,47.3143,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_6_BA,2016-05-25 07:11:49,1,1,TRACE4,444.471,272.418,-22.231,-,17.0707,16.8867,16.5505,16.6448,,45.3096,44.9822,44.6884,44.0244,,47.2300,46.9856,46.7718,46.3289,,49.1013,48.8998,48.5472,48.3847,,,54.2887,56.1356,54.9406,,,52.3060,54.0650,52.7351,,,50.3757,52.2056,50.8640,,0.4424,0.4712,0.4246,0.4272,,0.5509,0.5929,0.5279,0.5333,,3.8217,4.3254,4.0181,4.0590,,1.7348,2.0794,1.9310,1.9710,,2.0869,2.2460,2.0871,2.0879,,3.4280,3.8087,3.4113,3.4977,,1.0165,0.8314,0.7638,0.8525,0.8727,1.3112,1.0510,0.9658,1.0597,1.0775,8.7919,6.8041,6.0641,6.6344,7.3896,4.4849,3.3586,2.8521,3.2633,3.4286,4.3070,3.4456,3.2120,3.3711,3.9610,8.1489,6.4544,5.8143,6.0238,6.1249,47.2054,46.9410,46.6178,46.2045,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_6_BA,2016-05-25 07:12:11,1,1,TRACE5,453.375,259.447,-22.231,-,15.9422,16.5744,16.6222,16.0994,,73.4645,74.0016,74.4706,74.6831,,75.4572,75.8602,76.3929,76.8356,,77.7402,78.3238,79.6810,79.9388,,,75.3785,75.8717,74.9429,,,73.5456,74.0289,72.8400,,,71.3764,71.3177,69.4853,,0.4074,0.3885,0.3718,0.3996,,0.5037,0.4810,0.4652,0.5012,,3.2566,3.0196,2.9970,3.2891,,1.5375,1.4298,1.4693,1.5911,,1.7191,1.5898,1.5277,1.6980,,3.0817,2.8156,2.8435,3.1228,,0.9811,0.6956,0.8572,1.4974,1.8443,1.3181,0.9009,1.1677,1.9977,2.4097,10.4042,7.4643,9.6256,14.3891,17.1852,5.0871,3.8434,5.3009,8.6614,10.1261,5.3170,3.6209,4.3247,5.7277,7.0591,8.5818,6.8358,8.5004,13.1675,14.9294,75.6024,76.1627,77.0758,77.3109,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_6_BA,2016-05-25 07:12:33,1,1,TRACE6,452.139,255.788,-22.231,-,16.3803,16.0633,16.3917,16.6202,,72.4685,72.4747,72.3330,72.7607,,74.4139,74.5243,74.2347,74.5328,,76.6289,76.6284,76.4218,76.8397,,,78.2064,77.4255,78.4615,,,76.1206,75.5244,76.5641,,,73.9009,73.4221,74.3115,,0.3861,0.4326,0.4182,0.3905,,0.4742,0.5371,0.5187,0.4848,,3.0388,3.4910,3.2699,3.1052,,1.3889,1.6397,1.5299,1.4751,,1.6499,1.8513,1.7400,1.6301,,2.7442,3.2010,3.0285,2.9234,,0.8975,0.6251,0.7377,1.1495,2.0954,1.1935,0.8224,0.9921,1.5553,2.6797,8.7661,6.6315,8.7846,12.1631,18.2755,4.5280,3.4249,4.7079,6.8341,10.5545,4.2381,3.2066,4.0767,5.3291,7.7210,8.2688,6.1694,7.7830,10.9515,16.3135,74.5487,74.5515,74.3774,74.8002,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_6_BA,2016-05-25 07:12:54,1,1,TRACE7,448.088,259.164,-22.231,-,16.6153,16.3557,16.5706,16.4163,,75.8313,77.9973,76.8869,79.0079,,77.9773,80.1530,79.0924,81.4318,,80.7835,83.0374,82.4697,85.0966,,,73.3950,73.0127,72.2391,,,71.1925,70.7891,70.0013,,,68.1774,67.6697,66.6591,,0.4255,0.3866,0.4377,0.4174,,0.5248,0.4778,0.5443,0.5232,,3.7225,2.8946,3.3586,3.2236,,1.9530,1.4441,1.6643,1.6007,,1.7695,1.4504,1.6943,1.6229,,3.3123,2.7889,3.2881,3.1560,,1.0369,0.7841,1.0333,1.4101,2.0751,1.3527,1.0352,1.3483,1.8850,2.7532,10.2730,8.7345,10.4058,17.0739,22.1620,5.2948,4.5530,6.1168,8.1052,11.4427,4.9782,4.1814,4.2891,8.9687,10.7193,9.0828,7.5351,9.4034,14.3975,17.7896,78.3074,80.5173,79.6783,82.0523,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_6_BA,2016-05-25 07:13:16,1,1,TRACE8,444.425,259.390,-22.230,-,16.6825,16.2187,16.2523,16.4962,,74.0923,74.7659,72.8844,73.6895,,76.1833,76.8885,75.1753,76.0872,,79.0168,79.4835,78.2678,79.7757,,,76.9493,76.4040,75.5147,,,74.8935,74.1175,73.0987,,,72.3541,71.1483,69.7657,,0.3972,0.4155,0.4158,0.3715,,0.4982,0.5174,0.5098,0.4618,,3.1552,3.3615,3.7872,3.2494,,1.5495,1.5702,1.7539,1.5249,,1.6057,1.7913,2.0333,1.7245,,2.9672,3.0492,3.1868,2.8930,,0.9695,0.7843,0.8682,1.2831,2.0357,1.2932,1.0047,1.1533,1.7380,2.6831,10.4076,7.4298,8.5050,14.6392,21.1685,5.5227,3.8630,4.6591,7.6817,11.8106,4.8848,3.5668,3.8459,6.9575,9.3579,8.9706,6.9128,7.9413,12.4611,17.6728,76.5546,77.1247,75.5761,76.7326,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_6_BA,2016-05-25 07:13:37,1,1,TRACE9,453.484,272.133,-22.234,-,16.4868,16.6951,16.7433,16.5173,,44.8445,44.9050,46.9559,46.0787,,47.1996,47.3606,49.2037,48.5571,,49.4410,49.6864,51.3279,50.8382,,,54.9235,53.0462,54.3030,,,52.5414,50.7187,51.9439,,,50.1908,48.5062,49.6639,,0.3823,0.4056,0.3892,0.3895,,0.4755,0.5003,0.4841,0.4831,,3.2417,3.2558,2.9915,3.1543,,1.4241,1.5386,1.4598,1.4734,,1.8176,1.7173,1.5317,1.6809,,2.9533,3.0039,2.8863,2.8752,,0.6405,0.6501,0.6970,0.6915,0.7273,0.8083,0.8227,0.8893,0.8757,0.9236,4.9542,5.6983,6.3408,5.8786,5.9766,2.4518,2.5466,2.9843,2.9251,2.9738,2.5024,3.1517,3.3565,2.9535,3.0027,4.8702,5.2713,5.8735,5.4271,5.7250,47.1427,47.2957,49.1419,48.4584,,
Mandl,Small Etching Device_ORB0004_Innenlage_BA_modyfied,Innenlage,Etching_Trials,BA,Back,Misch-d_6_BA,2016-05-25 07:13:59,1,1,TRACE10,451.436,268.572,-22.234,-,16.8962,16.5846,16.7143,17.1287,,48.0927,47.2286,48.5686,48.0388,,50.1832,49.4694,50.7442,50.2907,,52.2932,51.6505,52.9346,52.5006,,,52.9832,52.5361,51.2964,,,50.7851,50.2483,49.0541,,,48.6374,48.0833,46.9301,,0.3990,0.3767,0.3909,0.3945,,0.4971,0.4715,0.4841,0.4940,,3.4480,3.2404,3.0239,3.2122,,1.7713,1.6309,1.5242,1.6052,,1.6767,1.6095,1.4997,1.6070,,3.0917,2.9603,2.8963,2.9911,,0.7763,0.6895,0.7290,0.6891,0.8750,0.9669,0.8786,0.8993,0.8662,1.0931,6.4279,5.4828,5.5805,6.1076,7.3658,3.3097,2.6292,2.7406,2.8295,3.4048,3.1182,2.8536,2.8399,3.2781,3.9610,6.0496,5.3710,5.2333,5.5942,6.8105,50.1929,49.4396,50.7516,50.2697,,
